image_id,ground_truth
002,"Wine-tasting scene at a barrel table outdoors, rolling green hills behind: a man in a straw hat pours wine for a small group holding glasses — the pourer's expression is attentive/focused on the pour, the onlookers relaxed and convivial; a pleasant, low-key social occasion."
004,"Man in a dim room holding a wine glass out toward the camera, face blurred/close to camera, playful showing-off pose — face alone is too blurred to read; posture and gesture suggest lighthearted teasing or a toast, not seriousness."
006,"Man with a long grey beard smiling broadly in a crowded, ornate hall full of people in green shirts (looks like an event/rally), backpack on — genuinely happy, enjoying a festive social occasion."
010,"Birthday dinner around a dining table: a lit candle cake in the center, a woman standing/leaning in to attend to it while three others sit watching, a dog under the table — an anticipatory, mildly festive moment (about to sing/blow out candles); expressions read fairly neutral/waiting rather than overtly excited, which the occasion (lit cake, gathered family) explains."
012,"Skier face-down in the snow with skis and poles akimbo in the air, face mostly hidden/turned to the side — a comedic fall; the sprawled, crossed-ski posture reads as startled/embarrassed rather than hurt, which the mostly-hidden face alone can't convey."
014,"Two men posing arm-in-arm on a shaded tennis-court path, one giving a thumbs-up, both smiling at the camera — genuine friendly camaraderie between playing partners after a match."
015,"Man mid-air on a skateboard doing a trick on an indoor plywood ramp, one arm thrown up, focused/intense expression — thrill and concentration, not distress, despite the tense facial expression; the trick context disambiguates it."
016,"Woman in a home kitchen carefully filling glass jars with pickled vegetables, glasses on, focused downward gaze — calm concentration, absorbed in a task, not unhappy despite a neutral/serious face."
018,"Elderly woman in a wheelchair at what looks like a care facility, clutching a large teddy bear with a red ribbon just given to her as a gift, eyes glistening, faint smile — bittersweet, moved/touched by the gift; a flat read of her face alone could miss the warmth the context (gift, ribbon, held close) makes clear."
020,"Shirtless toddler in a Santa hat and diaper reaching for something on a kitchen counter, a small dog wearing reindeer antlers watching nearby — Christmas-morning mischief and curiosity, playful, not upset."
021,"Woman playing tennis, mid-swing, face strained and eyes squinted from exertion — competitive effort/focus; the strained expression could be misread as anger or pain by a face-only classifier, but the tennis-swing context makes clear it's athletic exertion."
022,"Woman surfing, crouched low on a wave in a wetsuit, focused expression — concentration and controlled thrill while riding the wave, not fear despite the tense posture."
023,"Man on a small boat wearing a bucket hat, one eye squinted shut against the sun, smiling, holding a water bottle — relaxed contentment on a sunny day on the water; the squint from sun glare could be misread as displeasure by a face-only model."
026,"Kid in a helmet riding a skateboard down a ramp, cautious/concentrated expression, another kid on a skateboard watching from the top of the ramp — focused caution while attempting or learning a trick, not fear, given the controlled riding posture."
027,"Man mid-swing on a green outdoor tennis court, alone in frame, focused forward gaze, follow-through on a forehand — athletic concentration and effort, a determined competitive focus rather than distress."
029,"Two young women sitting on a city sidewalk surrounded by shopping bags, both looking down at their phones with flat expressions — tired/checked-out after a long shopping trip, disengaged from their surroundings rather than sad."
030,"Man standing alone against a plain wall, guitar case on the floor beside him, phone to his ear, free hand pressed to the back of his head — tense, stressed body language during what looks like a difficult phone call; the hand-to-head gesture and rigid stance carry more signal here than his face alone."
033,"Skateboarder mid-air ollying onto/over a graffiti-covered concrete block at an outdoor skatepark, a soda can balanced on top of the block, several onlookers watching, a lone shoe discarded on the ground — focused athletic effort and concentration mid-trick, not distress, despite the tucked, tense body position."
035,"Elderly man alone in an armchair in a dim, quiet living room, looking down at something in his hands (a remote or book), wearing a paper crown — appears content and absorbed in solitary quiet time (paper crown suggests a birthday or holiday just prior), not lonely or sad despite the downcast, unreadable face."
038,"Two people mid-motion playing a motion-controlled video game (Wii-style) in a small living room, one lunging forward with a controller, TV showing a fighting game — energetic, playful excitement caught mid-action."
